ISO3,Country,Continent,Hemisphere,Human Development Groups,UNDP Developing Regions,HDI Rank (2021),Inequality in income (2010),Inequality in income (2011),Inequality in income (2012),Inequality in income (2013),Inequality in income (2014),Inequality in income (2015),Inequality in income (2016),Inequality in income (2017),Inequality in income (2018),Inequality in income (2019),Inequality in income (2020),Inequality in income (2021),,,,,Min Max 2010,Min Max 2011,Min Max 2012,Min Max 2013,Min Max 2014,Min Max 2015,Min Max 2016,Min Max 2017,Min Max 2018,Min Max 2019,Min Max 2020,Min Max 2021
OMN,Oman,Asia,Northern Hemisphere,Very High,AS,54,24.3,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,,,,,0.30,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23
KAZ,Kazakhstan,Asia,Northern Hemisphere,Very High,ECA,56,17.3,12.7,12.7,12.7,12.7,10.3,10.3,10.3,10.3,10.3,10.3,10.3,,,,,0.18,0.11,0.11,0.11,0.11,0.07,0.07,0.07,0.07,0.07,0.07,0.07
TTO,Trinidad and Tobago,America,Northern Hemisphere,Very High,LAC,57,21.9,21.9,24.06,24.3,23.64,23.28,23.44,23.36,23.15,23.12,22.82,22.82,,,,,0.26,0.26,0.29,0.30,0.29,0.28,0.28,0.28,0.28,0.28,0.27,0.27
CRI,Costa Rica,America,Northern Hemisphere,Very High,LAC,58,33.4,34.3,34.3,35.2,34.2,33.9,34.2,33.6,33.5,33.4,33.4,33.4,,,,,0.44,0.46,0.46,0.47,0.45,0.45,0.45,0.44,0.44,0.44,0.44,0.44
URY,Uruguay,America,Southern Hemisphere,Very High,LAC,58,28.7,26.3,24.1,24.7,24.3,24.4,23.7,23.4,23.5,23.5,23.5,23.5,,,,,0.37,0.33,0.29,0.30,0.30,0.30,0.29,0.28,0.28,0.28,0.28,0.28
BLR,Belarus,Europe,Northern Hemisphere,Very High,ECA,60,12,10.9,10.8,10.8,10.8,10.8,10.8,10.8,10.8,9.6,9.6,9.6,,,,,0.10,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.06,0.06,0.06
PAN,Panama,America,Northern Hemisphere,Very High,LAC,61,38.9,38.3,39.4,38.5,37.9,37.7,37.6,36.9,36.1,36.6,36.6,36.6,,,,,0.53,0.52,0.54,0.52,0.51,0.51,0.51,0.50,0.48,0.49,0.49,0.49
GEO,Georgia,Asia,Northern Hemisphere,Very High,ECA,63,32.1,32.1,32.1,26,26,26,24.9,24.9,24.9,24.9,24.9,24.9,,,,,0.42,0.42,0.42,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.31
MUS,Mauritius,Africa,Southern Hemisphere,Very High,SSA,63,24.3,24.04,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,,,,,0.30,0.29,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20
SRB,Serbia,Europe,Northern Hemisphere,Very High,ECA,63,24.3,24.04,24.06,23.7,24.4,23.4,23.2,28.1,23.7,23.7,18.5,18.5,,,,,0.30,0.29,0.29,0.29,0.30,0.28,0.28,0.36,0.29,0.29,0.20,0.20
